"Tabla"	"Vista Dynamo / CQRS (pegar tal cual en la celda)"
"Products_ref"	"NO se proyecta"
"distributors_ref"	"ITEM META (campo copiado):
""distributorId"": 1, ""gsi1pk"": ""DIST#1#2026-07-16"""
"orders_ref"	"NO se proyecta"
"delivery_point_ref"	"ITEM DO#<id> (campos copiados):
""deliveryPointId"": 45, ""customerName"": ""Casa La Ramada"", ""latitude"": ""-17.786510"", ""longitude"": ""-63.174220"""
"employee_ref"	"ITEM META (campos copiados):
""driverEmployeeId"": 456, ""driverName"": ""Carlos Mamani"", ""supervisorEmployeeId"": 98"
"customer/owner_ref"	"ITEM DO#<id> (campos copiados):
""ownerId"": 4, ""customerName"": ""Casa La Ramada"""
"sale_channel_restrictions"	"NO se proyecta"
"zones"	"NO se proyecta"
"distribution_zones"	"NO se proyecta"
"plan_status"	"NO se proyecta"
"logistic_assets"	"NO se proyecta"
"planning_restrictions"	"NO se proyecta"
"planning_restriction_schedules"	"NO se proyecta"
"planning_restriction_vehicle_rules"	"NO se proyecta"
"trucks"	"ITEM META (campos copiados):
""truckId"": 880012, ""licensePlate"": ""3456-ABC"""
"dispatch_plans"	"ITEM META (campo copiado):
""dispatchPlanId"": 899"
"planning_trucks"	"ITEM ROUTE#<id> (campo copiado):
""planningTruckId"": 9201"
"dispatch_delivery_points"	"ITEM DO#<id> (campos copiados):
""dispatchDeliveryPointId"": 4021, ""deliveryWindowStart"": ""08:00"", ""deliveryWindowEnd"": ""12:00"", ""totalWeightKg"": ""620.40"", ""totalVolumeM3"": ""2.30"", ""totalNeto"": ""1592.67"""
"image_delivery_points"	"NO se proyecta"
"candidate_orders"	"NO se proyecta"
"routes"	"ITEM PROPIO:
{ ""pk"": ""TO#103"", ""sk"": ""ROUTE#3344"", ""entityType"": ""ROUTE"", ""routeId"": 3344, ""name"": ""Ruta Norte 01"", ""planningTruckId"": 9201, ""engine"": ""GOOGLE_ROUTE_OPTIMIZATION"", ""encodePolyline"": ""}_o~F~ps|U..."", ""etaTotalDistanceM"": ""48250.00"", ""etaTotalTimeS"": ""9600.00"", ""totalCost"": ""64.04"", ""colorHex"": ""2E86DE"", ""isSelected"": true }"
"route_delivery_points"	"ITEM DO#<id> (campos copiados):
""sequence"": 1, ""estimatedDistanceM"": ""5400.00"", ""estimatedTravelS"": ""780.00"""
